"K","dist","beta_x","J","n_j","ICC","cond_id","N_total"
3,"symmetric",0,20,5,0.05,1,100
5,"symmetric",0,20,5,0.05,2,100
7,"symmetric",0,20,5,0.05,3,100
3,"skewed",0,20,5,0.05,4,100
5,"skewed",0,20,5,0.05,5,100
7,"skewed",0,20,5,0.05,6,100
3,"polarized",0,20,5,0.05,7,100
5,"polarized",0,20,5,0.05,8,100
7,"polarized",0,20,5,0.05,9,100
3,"symmetric",0.2,20,5,0.05,10,100
5,"symmetric",0.2,20,5,0.05,11,100
7,"symmetric",0.2,20,5,0.05,12,100
3,"skewed",0.2,20,5,0.05,13,100
5,"skewed",0.2,20,5,0.05,14,100
7,"skewed",0.2,20,5,0.05,15,100
3,"polarized",0.2,20,5,0.05,16,100
5,"polarized",0.2,20,5,0.05,17,100
7,"polarized",0.2,20,5,0.05,18,100
3,"symmetric",0.5,20,5,0.05,19,100
5,"symmetric",0.5,20,5,0.05,20,100
7,"symmetric",0.5,20,5,0.05,21,100
3,"skewed",0.5,20,5,0.05,22,100
5,"skewed",0.5,20,5,0.05,23,100
7,"skewed",0.5,20,5,0.05,24,100
3,"polarized",0.5,20,5,0.05,25,100
5,"polarized",0.5,20,5,0.05,26,100
7,"polarized",0.5,20,5,0.05,27,100
3,"symmetric",0,50,5,0.05,28,250
5,"symmetric",0,50,5,0.05,29,250
7,"symmetric",0,50,5,0.05,30,250
3,"skewed",0,50,5,0.05,31,250
5,"skewed",0,50,5,0.05,32,250
7,"skewed",0,50,5,0.05,33,250
3,"polarized",0,50,5,0.05,34,250
5,"polarized",0,50,5,0.05,35,250
7,"polarized",0,50,5,0.05,36,250
3,"symmetric",0.2,50,5,0.05,37,250
5,"symmetric",0.2,50,5,0.05,38,250
7,"symmetric",0.2,50,5,0.05,39,250
3,"skewed",0.2,50,5,0.05,40,250
5,"skewed",0.2,50,5,0.05,41,250
7,"skewed",0.2,50,5,0.05,42,250
3,"polarized",0.2,50,5,0.05,43,250
5,"polarized",0.2,50,5,0.05,44,250
7,"polarized",0.2,50,5,0.05,45,250
3,"symmetric",0.5,50,5,0.05,46,250
5,"symmetric",0.5,50,5,0.05,47,250
7,"symmetric",0.5,50,5,0.05,48,250
3,"skewed",0.5,50,5,0.05,49,250
5,"skewed",0.5,50,5,0.05,50,250
7,"skewed",0.5,50,5,0.05,51,250
3,"polarized",0.5,50,5,0.05,52,250
5,"polarized",0.5,50,5,0.05,53,250
7,"polarized",0.5,50,5,0.05,54,250
3,"symmetric",0,100,5,0.05,55,500
5,"symmetric",0,100,5,0.05,56,500
7,"symmetric",0,100,5,0.05,57,500
3,"skewed",0,100,5,0.05,58,500
5,"skewed",0,100,5,0.05,59,500
7,"skewed",0,100,5,0.05,60,500
3,"polarized",0,100,5,0.05,61,500
5,"polarized",0,100,5,0.05,62,500
7,"polarized",0,100,5,0.05,63,500
3,"symmetric",0.2,100,5,0.05,64,500
5,"symmetric",0.2,100,5,0.05,65,500
